recency,history,used_discount,used_bogo,is_referral,score,channel_Phone,channel_Web,offer_Discount,offer_No Offer
2,126.42,1,0,0,1.7115718373017557,1,0,0,1
3,185.64,1,0,1,0.8653682209066764,0,1,0,0
12,328.31,0,1,0,1.4026105542904626,1,0,0,1
10,357.81,1,0,0,1.1430026553358468,1,0,0,0
6,250.17,0,1,0,1.1242913490015374,1,0,0,0
9,204.05,1,0,1,0.958042300935634,1,0,1,0
11,29.99,0,1,1,0.5676456890262943,1,0,0,1
9,91.35,0,1,0,0.35460925962485434,1,0,1,0
2,29.99,0,1,1,0.7914649759279652,1,0,0,1
4,87.69,1,0,0,1.3584637852147854,0,1,1,0
11,105.22,1,0,1,0.5696229376809081,0,1,0,1
9,413.92,1,0,1,0.6782488280635569,1,0,0,0
6,53.02,1,0,1,1.4184358643682693,1,0,1,0
3,276.03,0,1,1,1.0446481802774128,1,0,1,0
7,361.96,0,1,1,1.2165734031723237,1,0,0,1
9,383.89,1,1,1,1.7743599181167231,1,0,0,0
7,58.15,0,1,1,1.7128766584232158,0,1,0,0
3,369.06,1,0,1,0.7452539968238648,1,0,0,0
3,137.59,1,0,1,0.8409451669355693,1,0,1,0
1,142.26,1,0,0,1.7865183535429408,0,1,0,1
9,385.96,0,1,1,0.8547958935357205,1,0,0,1
8,105.3,1,0,0,0.7989827738099388,0,1,0,1
10,364.11,1,1,0,1.1300447101809328,0,0,0,1
8,58.4,0,1,0,0.8817237907241011,1,0,0,0
4,299.92,1,0,0,1.3095420311126558,1,0,0,1
5,39.02,1,0,0,1.2797788890619093,1,0,1,0
7,136.37,0,1,0,0.5559161920409352,0,1,0,1
10,59.2,1,0,0,0.5561740080060347,1,0,0,0
1,275.22,1,0,0,0.5345286993239768,0,1,1,0
3,199.62,0,1,0,0.4023532854579296,0,1,1,0
1,50.51,0,1,1,1.7374984159520648,0,1,0,1
1,667.1,0,1,1,2.1332347839912496,0,1,0,1
9,200.16,0,1,1,0.9657888811947416,0,0,0,0
11,218.49,0,1,0,0.6159899578081434,0,0,0,1
5,206.55,1,1,0,2.6609560733729034,1,0,1,0
2,338.7,1,0,1,1.0808150835473185,1,0,0,1
1,413.46,0,1,0,1.2615463049714206,1,0,0,1
1,111.64,1,0,0,0.5657216698593817,1,0,1,0
10,269.03,1,1,0,0.6687571503519947,0,1,0,1
10,31.52,0,1,0,1.381833047849552,1,0,0,1
7,424.14,0,1,0,1.0157016234966836,0,0,1,0
7,82.01,1,0,1,0.9987768574178871,1,0,1,0
6,374.11,1,0,1,0.12297710431456176,0,0,0,0
11,181.32,0,1,0,1.329194533399232,0,1,0,1
3,221.57,1,0,0,1.7283282051884852,0,1,0,1
1,210.21,1,1,0,1.7951536396302823,0,0,0,1
11,162.16,1,0,0,0.8589360215264892,0,1,0,1
5,133.01,1,0,1,0.9989887075650236,1,0,1,0
9,65.99,1,0,1,1.9912331081349088,0,1,0,0
2,29.99,0,1,0,0.9132336774439226,1,0,1,0
1,389.36,0,1,0,1.2429153188375328,0,1,0,1
1,877.02,0,1,1,1.8851481375749355,0,1,0,0
11,83.63,0,1,0,0.8815620031621929,0,1,1,0
1,119.22,0,1,0,1.500357824714289,0,1,1,0
10,194.19,0,1,1,1.5569661459041533,1,0,1,0
6,169.1,1,0,0,0.6743435477580315,0,1,1,0
3,80.91,0,1,0,1.4624597257490501,1,0,1,0
12,406.78,0,1,1,1.0337141410272377,0,0,1,0
8,196.37,1,0,0,0.7531984629094429,0,1,0,0
12,130.89,1,0,1,2.128546945090217,0,1,0,1
1,29.99,1,0,0,0.42478113361393377,1,0,1,0
1,159.55,1,0,0,0.9796695597712862,0,1,0,1
12,49.84,0,1,0,1.5646939752629927,1,0,1,0
1,403.02,1,0,0,1.3638534981437056,1,0,0,0
3,294.09,1,1,0,2.5292625608392654,0,1,1,0
1,338.67,0,1,1,1.1477495736133327,0,0,0,0
12,101.67,1,0,1,1.6678902350613527,0,1,0,1
7,241.41,1,0,1,1.060802322491606,1,0,0,1
1,543.75,0,1,1,0.7369134926118404,0,0,0,1
1,29.99,0,1,1,0.5326214441048363,0,1,0,1
8,53.2,0,1,0,0.8924004389550387,1,0,1,0
1,29.99,0,1,0,0.5980451690451472,1,0,1,0
1,41.84,1,0,1,1.3203685573069923,0,1,1,0
7,537.13,1,0,1,2.0438743116948466,0,1,0,1
3,102.6,1,0,0,1.4602576827135814,0,1,0,1
7,443.58,1,0,1,1.1369150113126212,0,0,0,0
4,29.99,1,0,0,1.2694075378939838,0,1,0,0
10,29.99,0,1,0,0.7635541170768474,1,0,0,1
7,207.93,1,1,0,0.5882891292053143,1,0,0,1
8,226.0,1,0,1,0.7564297351803588,1,0,1,0
10,81.39,1,0,1,0.8840517926486114,0,1,1,0
2,304.22,1,1,1,1.3900935177465654,0,1,0,0
10,30.19,0,1,1,0.7490633648329743,1,0,0,1
6,757.76,0,1,1,-0.005127710562460529,0,1,0,1
4,666.1,1,1,1,1.6954384319994709,0,0,0,1
6,341.33,1,0,0,1.474987694749066,0,0,0,1
1,90.17,1,0,0,0.2492938996309042,0,1,0,1
1,42.21,1,0,1,0.9563700803795256,1,0,1,0
7,177.48,1,0,0,1.0475107295127213,0,1,0,0
9,78.78,1,0,0,0.3962289551391793,1,0,0,1
9,249.05,1,0,0,0.8881458333474694,0,0,1,0
1,136.98,1,0,1,1.5038654835056326,1,0,0,1
2,29.99,1,0,0,0.9910786165114556,1,0,0,1
10,393.85,1,0,0,1.4237837056016516,0,1,0,0
10,367.1,1,0,1,1.0630896779641597,1,0,1,0
4,595.61,0,1,1,1.2970043536077254,1,0,0,1
2,206.5,0,1,1,0.782039769714654,0,0,0,0
4,122.87,0,1,0,1.7334389212541177,1,0,0,1
11,67.34,0,1,0,1.0044806880639394,1,0,1,0
4,373.76,1,1,0,0.9679235839871408,1,0,1,0
5,165.58,0,1,0,1.0979890447872298,0,1,0,0
8,276.65,0,1,0,0.5069827912706601,1,0,0,1
9,29.99,0,1,1,0.7149137991218759,1,0,0,0
10,363.84,1,1,0,1.1037425409632151,0,1,1,0
1,138.75,1,0,0,0.9517972960374494,0,1,0,1
9,29.99,1,0,1,1.4657127895566062,1,0,0,0
1,86.29,1,0,1,1.4917520526813748,0,1,1,0
7,148.73,1,0,0,1.9580284301473307,0,1,1,0
3,29.99,1,0,1,1.0074667244646092,1,0,0,1
10,129.33,1,0,0,1.0096895531564645,0,1,0,1
1,438.57,1,0,0,1.4928904746375204,1,0,0,0
6,64.15,0,1,0,0.7648821916885532,0,1,1,0
2,440.81,0,1,0,0.4161582068869573,0,0,1,0
2,745.27,0,1,1,2.0263739443358872,0,1,1,0
1,72.97,1,0,1,0.9325036358765088,1,0,0,0
3,109.06,1,0,1,0.9646824161993642,1,0,0,0
11,29.99,0,1,1,0.8027863232171999,0,1,0,1
3,424.64,1,0,0,0.9258331725094556,0,1,0,1
2,29.99,1,0,0,1.9302188713183728,0,1,0,0
4,406.63,1,0,0,0.9323859937392021,0,0,0,1
8,29.99,0,1,0,1.1183142135754445,0,1,0,0
6,223.93,1,1,1,1.788726007961165,0,1,1,0
4,64.35,1,0,0,2.0617493893235146,1,0,1,0
5,91.17,0,1,0,0.6881792111560228,1,0,0,0
2,356.79,1,0,0,1.2294789156596817,0,0,0,1
4,29.99,0,1,0,2.105295518461748,0,1,1,0
4,374.56,0,1,0,0.334425750226951,1,0,0,1
4,213.73,0,1,0,2.0110494190484927,0,1,1,0
3,251.45,0,1,0,1.4390546473853605,1,0,1,0
7,350.32,1,1,0,2.2842425157801625,0,1,1,0
1,480.66,1,1,1,2.5876276490278656,1,0,0,0
9,29.99,1,0,0,1.540437372542394,1,0,0,0
4,690.82,1,1,1,1.0794366715718549,1,0,1,0
8,29.99,0,1,1,0.8341411807405819,0,1,1,0
8,587.04,1,0,1,1.3029763920893302,0,0,1,0
4,149.44,0,1,0,0.7266214781022791,0,1,1,0
5,29.99,1,0,1,0.5923182054880343,1,0,0,0
11,299.45,0,1,1,0.5923646592845387,0,0,0,1
4,450.67,1,0,0,0.5866291871050018,0,1,0,0
11,1085.95,0,1,1,1.058316212984611,1,0,0,1
7,304.38,0,1,0,1.0023176057950216,0,1,0,1
2,187.86,0,1,1,0.8812484265568568,1,0,0,0
5,29.99,0,1,0,2.0922293601773534,0,1,1,0
9,336.94,1,0,1,0.4670430124149095,1,0,0,1
7,29.99,0,1,1,0.7939186436895926,0,1,1,0
2,195.76,1,0,0,1.2321429456170938,1,0,0,1
2,88.38,0,1,0,1.6061793126711148,0,1,0,1
9,29.99,0,1,1,1.7605729616900752,1,0,1,0
3,50.47,1,0,1,1.5809030125959211,1,0,1,0
1,139.5,0,1,0,1.3337493335971584,0,1,0,1
11,29.99,0,1,1,0.22311736618592706,1,0,1,0
1,258.0,1,0,0,0.4085232664276229,1,0,0,0
7,194.81,1,0,0,0.6638616056961824,1,0,0,1
12,237.72,1,0,0,0.9386872004375458,0,0,0,1
4,466.94,0,1,1,0.3644046540349816,0,1,1,0
7,330.82,1,0,1,1.3703477611367034,1,0,1,0
3,505.12,0,1,1,0.936122222544746,1,0,0,0
8,29.99,1,0,0,1.3213235673528216,0,1,1,0
3,151.98,0,1,1,2.2096169551127245,1,0,1,0
2,89.22,1,0,0,1.3705975358730529,1,0,0,0
6,321.3,0,1,0,0.7969123356948723,1,0,1,0
11,308.63,0,1,0,0.20955654105144786,0,0,0,1
4,398.0,0,1,0,2.662569292928745,0,0,1,0
5,184.1,0,1,0,1.631019020010474,1,0,1,0
11,187.38,0,1,0,1.191093224976732,0,1,0,0
2,306.69,0,1,0,1.1341129650256212,0,1,0,1
4,311.36,1,0,0,0.7298933851018123,0,0,1,0
